candidate_id,predicted_fit_score,name,headline,current_role,market_demand_score,days_since_active,technical_credibility_score,trust_score,semantic_score
CAND_0013440,44.3043437006253,Avni Chopra,"Senior Data Engineer | SQL, Spark, Cloud",Senior Data Engineer,0.3746,125,0.5513,0.95,0.5538109
CAND_0006432,44.21757266231924,Pranav Malhotra,Data Engineer | Data pipelines & analytics,Data Engineer,0.3814,105,0.3133,0.974,0.51516867
CAND_0092362,44.032834094311795,Ved Kapoor,Mechanical Engineer | Generative AI explorer,Mechanical Engineer,0.329,184,0.002,0.8,0.66288906
CAND_0087128,43.64042762965535,Krishna Verma,"Data Analyst | SQL, Spark, Cloud",Data Analyst,0.3944,142,0.2804,0.766,0.5567944
CAND_0056024,43.38533644619165,Shaurya Dutta,Mobile Developer | Backend systems & APIs,Mobile Developer,0.3614,141,0.2984,0.776,0.5816395
CAND_0018401,43.18087758533884,Ritu Sen,Frontend Engineer | Full-stack development,Frontend Engineer,0.4136,135,0.2908,0.773,0.5481585
CAND_0077031,42.82397087503982,Amit Pandey,"Software Engineer | SQL, Spark, Cloud",Software Engineer,0.6144,135,0.5728,0.791,0.5517247
CAND_0060886,42.68787281788513,Advaith Sethi,Senior Software Engineer (ML) | Data Science & ML enthusiast,Senior Software Engineer (ML),0.3944,64,0.5424,1.0,0.55213296
CAND_0005826,42.63476306054709,Divya Trivedi,Full Stack Developer | Cloud & DevOps,Full Stack Developer,0.3636,174,0.3633,0.775,0.56943303
CAND_0091254,42.61176223741036,Avni Agarwal,AI Research Engineer | 5.2 yrs in analytics & ML,AI Research Engineer,0.994,107,0.4498,0.769,0.58509815
CAND_0011487,42.53790310165158,Zara Shah,Senior Software Engineer | Data pipelines & analytics,Senior Software Engineer,0.3782,125,0.513,0.833,0.5631257
CAND_0085078,42.51104014377847,Nisha Mehta,Senior Software Engineer | Data pipelines & analytics,Senior Software Engineer,0.4852,120,0.422,0.766,0.5587847
CAND_0080664,42.5051713446404,Aisha Mukherjee,Data Analyst | 5.7+ yrs in data engineering,Data Analyst,0.5292,128,0.2488,0.828,0.5458642
CAND_0019149,42.49365515129986,Divya Dalal,Senior Data Engineer | 5.7+ yrs in data engineering,Senior Data Engineer,0.7682,117,0.5803,0.809,0.5803142
CAND_0011484,42.47288776346888,Aryan Nair,"Data Engineer | SQL, Spark, Cloud",Data Engineer,0.3938,119,0.32,0.814,0.52024263
CAND_0055661,42.47188819543218,Vivaan Naidu,Senior Data Engineer | 4.1+ yrs in data engineering,Senior Data Engineer,0.3832,128,0.5836,0.737,0.5501921
CAND_0031631,42.31703185641323,Naina Shah,Frontend Engineer | Full-stack development,Frontend Engineer,0.3804,154,0.3992,0.782,0.5457357
CAND_0056959,42.31114803293399,Om Arora,Software Engineer | Cloud & DevOps,Software Engineer,0.3594,162,0.358,0.774,0.56378686
CAND_0028515,42.30210211983547,Anjali Pillai,Software Engineer | Cloud & DevOps,Software Engineer,0.3294,131,0.2875,0.763,0.5661308
CAND_0071134,42.26852379496271,Mira Mittal,"Senior Software Engineer | SQL, Spark, Cloud",Senior Software Engineer,0.371,128,0.2658,0.883,0.54791975
CAND_0093682,42.2615996151577,Dev Chowdary,Data Engineer | Data pipelines & analytics,Data Engineer,0.3806,128,0.5928,0.896,0.5548806
CAND_0086164,42.25373426373683,Neha Sethi,Senior Software Engineer | 4.9+ yrs in data engineering,Senior Software Engineer,0.8816,136,0.3796,0.816,0.5586348
CAND_0057871,42.247841400415076,Arjun Mukherjee,"Senior Software Engineer | SQL, Spark, Cloud",Senior Software Engineer,0.6638,103,0.258,0.811,0.5713019
CAND_0076412,42.24413307181338,Meera Bhatia,AI Research Engineer | 5.8 yrs in analytics & ML,AI Research Engineer,1.0,111,0.5968,0.768,0.57275665
CAND_0062240,42.20566299590896,Priya Verma,Mobile Developer | Cloud & DevOps,Mobile Developer,0.3892,193,0.4048,0.768,0.4968542
CAND_0074242,42.1418567208679,Myra Ghosh,DevOps Engineer | Full-stack development,DevOps Engineer,0.5194,143,0.3828,0.781,0.56056255
CAND_0073261,42.13088577774605,Rajesh Hegde,Data Engineer | 7.7+ yrs in data engineering,Data Engineer,0.8936,132,0.304,0.888,0.578281
CAND_0022940,42.11752548290705,Aarav Naidu,Senior Software Engineer (ML) | Building ML-powered solutions,Senior Software Engineer (ML),0.9232,97,0.3334,0.901,0.5542598
CAND_0036121,42.030146936478275,Atharv Bansal,ML Engineer | Building ML-powered solutions,ML Engineer,0.8784,100,0.8149,1.0,0.5543716
CAND_0027676,42.02677604889951,Ayaan Malhotra,DevOps Engineer | Backend systems & APIs,DevOps Engineer,0.5418,19,0.2348,0.79,0.55924726
CAND_0077308,42.002800075529706,Anil Nair,Full Stack Developer | Backend systems & APIs,Full Stack Developer,0.3792,176,0.2784,0.82,0.5484639
CAND_0077661,41.97821270131906,Tanya Krishnan,Data Analyst | 5.1+ yrs in data engineering,Data Analyst,0.366,144,0.4683,0.79,0.53693104
CAND_0098675,41.94270561635992,Anika Sen,Software Engineer | Full-stack development,Software Engineer,0.3612,72,0.5616,0.958,0.5625667
CAND_0069743,41.90838948505132,Shaurya Subramanian,DevOps Engineer | Cloud & DevOps,DevOps Engineer,0.4006,123,0.3764,0.845,0.5670135
CAND_0033650,41.88719033569004,Om Sethi,Junior ML Engineer | Building ML-powered solutions,Junior ML Engineer,0.5404,115,0.5876,0.809,0.55044985
CAND_0007567,41.84430575166261,Ved Goyal,AI Specialist | 6.1 yrs in analytics & ML,AI Specialist,0.7944,101,0.542,0.938,0.5370339
CAND_0082339,41.83905625376735,Dhruv Krishnan,Frontend Engineer | Cloud & DevOps,Frontend Engineer,0.7426,115,0.242,0.949,0.513068
CAND_0006757,41.73211426417726,Advaith Krishnan,Senior Software Engineer | 5.4+ yrs in data engineering,Senior Software Engineer,0.6406,103,0.6668,1.0,0.5844778
CAND_0048333,41.67886515455978,Deepak Iyengar,Cloud Engineer | Full-stack development,Cloud Engineer,0.4984,146,0.2708,0.763,0.5576449
